0|JjNJSDnPnxkfbtqbsNH|AuDxywaeOdAqAhgCuXWcKRKqeCFjp|MN
1|RQojWMiZFJldXWqUDr|ACFpUQhKxVTeTeutRuPPPxdp|SU
2|GTCmRew|rOLAljotJcGyxnzirAQkTCCaJ|YJ
3|vJmMoAFgNefVhNMirkEOk|KFFLUmeNigEedOayxJEgHW|NH
4|sj WdYqSYuVkTFJCpd|GaFESiYlPcdVbHGFuUcZtI|VQ
5|vpdPNxByUABOIsrmQyiQ|yluSlkyyaNiWIUArFAmWsYXNmGEoh|TJ
6|qzZuQxmVXntPE|gwqnErBfmmXeBiMDYWmN|PB
7|jxUmYM|iV g|GQ
8|DdLrsBQDmBPrDWWbbaipr|OxOsDvsModkNZpuMbs|NV
9|bikYMTZYaoktbUtZOJuCuvNFR|xJZOBbalwrgs UFnxAy|LE
10| lHG|onVCDDSlvqLCmspaUtZn|PZ
11|qaPpKsIeYcpnVDureMHJeUcFkH|HSOyoMpGCWV|BX
12|ScdkgZNnJPqdB|LjsXqLbSZDaoDmYGcX|DD
13|CtgeukRRZuafhuoK BJZhSOX|ePStFglek|BZ
14|YmDIINJGZOG|XOOGDCGIAH|NR
15|NkhBXaaadErteTHyIrhcOQWhvsp|EUMVetAuSq wRT RiHllsYw|ND
